main profile,friend profile_,fbfm.stats.properties.PropertyUserLikesFriendPosts,fbfm.stats.properties.PropertyUserTaggedFriendInPost,fbfm.stats.properties.PropertyFriendLikedMyPosts,fbfm.stats.properties.PropertyPrivateMessages,fbfm.stats.properties.PropertyUserCommentedFriendPosts,fbfm.stats.properties.PropertyUserSharedFriendPost,fbfm.stats.properties.PropertyFriendTaggedMePhoto,fbfm.stats.properties.PropertyMeTaggedFriendPhoto,fbfm.stats.properties.PropertyFriendCommentedMyPosts,fbfm.stats.properties.PropertyFriendTaggedUserInPost
100001531730648,1007423953_,0,0,0,0,0,0,0,0,0,0
100001531730648,1007603097_,0,0,0,0,0,0,0,0,0,0
100001531730648,1013161271_,0,0,0,0,0,0,0,0,0,0
100001531730648,1014214289_,0,0,0,0,0,0,0,0,0,0
100001531730648,1019563766_,0,0,0,0,2,0,0,0,0,0
100001531730648,1020101388_,0,0,0,0,0,0,0,0,0,0
100001531730648,1020838887_,0,0,0,0,0,0,0,0,0,0
100001531730648,1020866858_,0,0,0,0,0,0,0,0,0,0
100001531730648,1027759731_,0,0,0,0,0,0,0,0,0,0
100001531730648,1031696099_,0,0,0,0,0,0,0,0,0,0
100001531730648,1032281707_,0,0,1,547,0,0,0,0,1,0
100001531730648,1037150002_,7,0,1,430,0,0,0,0,0,0
100001531730648,1037401204_,0,0,1,329,1,0,1,0,1,0
100001531730648,1041442064_,0,0,0,0,0,0,0,0,0,0
100001531730648,1047452295_,1,0,0,3737,0,0,6,0,0,0
100001531730648,1047826013_,0,0,0,0,0,0,0,0,0,0
100001531730648,1050220143_,0,0,0,0,0,0,0,0,0,0
100001531730648,1058305293_,0,0,0,0,0,0,0,0,0,0
100001531730648,1060346822_,0,0,0,0,0,0,0,0,0,0
100001531730648,1061133214_,0,0,0,0,0,0,0,0,0,0
100001531730648,1063710907_,0,0,0,0,0,0,0,0,0,0
100001531730648,1065982846_,0,0,1,0,0,0,0,0,0,0
100001531730648,1065998877_,1,0,0,0,0,0,0,0,0,0
100001531730648,1069814399_,0,0,0,0,0,0,0,0,0,0
100001531730648,1070725197_,0,0,0,0,0,0,0,0,0,0
100001531730648,1075563322_,0,0,0,0,0,0,0,0,0,0
100001531730648,1075880738_,1,0,0,0,0,0,0,0,0,0
100001531730648,1078971573_,0,0,0,0,0,0,0,0,0,0
100001531730648,1079927643_,12,0,5,1083,0,0,1,0,0,0
100001531730648,1083554242_,0,0,0,932,0,0,0,0,0,0
100001531730648,1089918417_,0,0,0,0,0,0,0,0,0,0
100001531730648,1091922346_,1,0,0,0,0,0,0,0,0,0
100001531730648,1091941150_,0,0,0,0,0,0,0,0,0,0
100001531730648,1106651061_,0,0,0,0,0,0,0,0,0,0
100001531730648,1110364589_,0,0,0,0,0,0,0,0,0,0
100001531730648,1116103722_,2,0,0,1352,0,0,0,0,0,0
100001531730648,1117411852_,0,0,0,0,0,0,0,0,0,0
100001531730648,1122693319_,0,0,0,0,0,0,0,0,0,0
100001531730648,1126047181_,0,0,0,0,0,0,0,0,0,0
100001531730648,1132909068_,0,0,1,0,0,0,0,0,0,0
100001531730648,1134530671_,0,0,0,0,0,0,0,0,0,0
100001531730648,1141694067_,0,0,0,0,0,0,0,0,0,0
100001531730648,1157373111_,3,0,1,494,0,1,0,0,0,0
100001531730648,1165764025_,0,0,0,0,0,0,0,0,0,0
100001531730648,1172285422_,1,0,0,0,0,0,0,0,0,0
100001531730648,1184932979_,2,0,0,1282,0,0,0,0,0,0
100001531730648,1190684994_,0,0,1,0,0,0,0,0,0,0
100001531730648,1204312364_,0,0,0,0,1,0,0,0,0,0
100001531730648,1205100958_,0,0,0,0,0,0,0,0,0,0
100001531730648,1214472467_,0,0,0,0,0,0,0,0,0,0
100001531730648,1217006093_,0,0,0,0,0,0,0,0,0,0
100001531730648,1218594503_,0,0,0,0,0,0,0,0,0,0
100001531730648,1227536147_,0,0,0,13,0,0,0,0,0,0
100001531730648,1240572370_,0,0,0,0,0,0,0,0,0,0
100001531730648,1241787607_,0,0,0,0,0,0,0,1,0,0
100001531730648,1243339425_,0,0,0,0,0,0,0,0,0,0
100001531730648,1244170778_,0,0,0,0,0,0,0,0,0,0
100001531730648,1261977689_,0,0,0,0,0,0,0,0,0,0
100001531730648,1274079370_,0,0,0,0,0,0,0,0,0,0
100001531730648,1279512366_,1,0,0,0,0,0,0,0,0,0
100001531730648,1283384233_,0,0,0,0,0,0,0,0,0,0
100001531730648,1285112751_,0,0,0,0,0,0,0,0,0,0
100001531730648,1287955015_,2,0,0,0,0,0,0,0,0,0
100001531730648,1288501756_,0,0,0,0,0,0,0,0,0,0
100001531730648,1290795020_,2,0,0,2292,1,0,0,0,1,0
100001531730648,1291838411_,0,0,0,0,0,0,0,0,0,0
100001531730648,1306436630_,0,0,0,0,0,0,0,0,0,0
100001531730648,1310854819_,1,0,0,0,0,0,0,0,0,0
100001531730648,1311364793_,0,0,0,0,0,0,0,0,0,0
100001531730648,1313814932_,1,0,0,0,0,0,0,0,0,0
100001531730648,1317467691_,1,0,0,0,0,0,0,0,0,0
100001531730648,1319250531_,0,0,0,0,0,0,0,0,0,0
100001531730648,1320100952_,0,0,3,12,0,0,0,0,0,0
100001531730648,1325717375_,0,0,0,0,0,0,0,0,0,0
100001531730648,1331442506_,0,0,0,178,0,0,0,0,0,0
100001531730648,1342805403_,1,0,0,105,0,0,0,0,0,0
