main profile,friend profile_,fbfm.stats.features.FeatureCommonGroups,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonEducationWork,class
100001531730648_,1344063759_,12.0,0.0116959065,9.0,0.0,0.0,1.0,0.0
100001531730648_,1346702218_,0.0,0.0,51.0,0.0,0.0,0.0,0.0
100001531730648_,1355439198_,3.0,0.0,3.0,0.0,0.0,0.0,0.0
100001531730648_,1355634281_,2.0,0.008032128,81.0,10.0,0.0,0.0,2.3125
100001531730648_,1356366388_,0.0,0.016666668,35.0,0.0,0.0,0.0,0.0625
100001531730648_,1356823531_,2.0,0.0,33.0,0.0,0.0,0.0,0.0
100001531730648_,1368145505_,2.0,0.019607844,4.0,0.0,0.0,1.0,0.0
100001531730648_,1370847063_,0.0,0.0,37.0,17.0,0.0,1.0,1.1875
100001531730648_,1371540667_,8.0,0.009090909,4.0,0.0,0.0,1.0,0.0
100001531730648_,1383284369_,0.0,0.0099502485,24.0,0.0,0.0,0.0,1.0
100001531730648_,1390218496_,0.0,0.0,42.0,0.0,0.0,0.0,0.0
100001531730648_,1397410949_,0.0,0.0,29.0,0.0,0.0,0.0,0.0
100001531730648_,1407102437_,1.0,0.008196721,38.0,0.0,0.0,0.0,0.0
100001531730648_,1417010213_,0.0,0.0,1.0,0.0,0.0,0.0,0.125
100001531730648_,1427961583_,0.0,0.0020491802,0.0,0.0,0.0,0.0,0.0
100001531730648_,1439710589_,1.0,0.009345794,9.0,0.0,0.0,0.0,0.0
100001531730648_,1440276183_,1.0,0.0,50.0,0.0,0.0,0.0,0.0625
100001531730648_,1448384231_,0.0,0.011764706,13.0,0.0,0.0,0.0,0.0
100001531730648_,1458034210_,0.0,0.01010101,33.0,0.0,0.0,0.0,0.0
100001531730648_,1465307965_,1.0,0.015544041,55.0,0.0,0.0,0.0,0.0
100001531730648_,1481956786_,1.0,0.017142856,2.0,0.0,0.0,0.0,1.0
100001531730648_,1499908219_,0.0,0.018115941,25.0,0.0,0.0,0.0,0.0
100001531730648_,1504276313_,8.0,0.025641026,16.0,0.0,0.0,0.0,0.0263277349069
100001531730648_,1511453957_,0.0,0.0,56.0,0.0,0.0,0.0,0.0
100001531730648_,1514649889_,1.0,0.004,22.0,0.0,0.0,0.0,0.0625
100001531730648_,1531020651_,3.0,0.014705882,19.0,0.0,0.0,0.0,0.125
100001531730648_,1535130454_,0.0,0.006289308,39.0,0.0,1.0,0.0,0.0625
100001531730648_,1535228840_,1.0,0.0,55.0,0.0,0.0,0.0,0.0
100001531730648_,1537502995_,0.0,0.0,15.0,0.0,0.0,0.0,0.0
100001531730648_,1541352679_,7.0,0.019292604,20.0,0.0,0.0,0.0,1.08276592525
100001531730648_,1544000983_,0.0,0.0,31.0,0.0,0.0,0.0,0.219216220306
100001531730648_,1556354841_,0.0,0.018072288,39.0,0.0,0.0,0.0,0.0
100001531730648_,1563753531_,0.0,0.006756757,26.0,0.0,0.0,0.0,0.0
100001531730648_,1584190905_,1.0,0.0,23.0,7.0,0.0,0.0,0.5625
100001531730648_,1590000140_,1.0,0.0,18.0,0.0,0.0,1.0,0.0
100001531730648_,1597982154_,1.0,0.0,25.0,0.0,0.0,1.0,0.0
100001531730648_,1611673845_,2.0,0.02811245,12.0,0.0,0.0,0.0,1.09155129369
100001531730648_,1618354155_,1.0,0.008474576,63.0,13.0,0.0,0.0,3.88897448221
100001531730648_,1639025468_,0.0,0.013157895,5.0,0.0,0.0,0.0,0.2
100001531730648_,1643164772_,0.0,0.006329114,36.0,0.0,0.0,0.0,0.074907323347
100001531730648_,1648946768_,0.0,0.009345794,28.0,0.0,0.0,0.0,0.0
100001531730648_,1649661666_,0.0,0.018518519,32.0,0.0,0.0,0.0,0.0
100001531730648_,1653354451_,2.0,0.012820513,34.0,0.0,0.0,0.0,0.0
100001531730648_,1741838201_,0.0,0.0,6.0,0.0,0.0,0.0,0.0
100001531730648_,1746258804_,1.0,0.020618556,34.0,0.0,0.0,0.0,0.0
100001531730648_,1794816334_,0.0,0.0,21.0,0.0,0.0,0.0,0.0
100001531730648_,1798243559_,1.0,0.0,44.0,0.0,0.0,0.0,0.0
100001531730648_,1824735126_,1.0,0.004830918,17.0,0.0,0.0,0.0,0.0
100001531730648_,1825483925_,0.0,0.0,3.0,0.0,0.0,0.0,0.0625
100001531730648_,1825522861_,0.0,0.009433962,46.0,0.0,0.0,0.0,0.0625
100001531730648_,1837133174_,0.0,0.008,48.0,9.0,0.0,0.0,0.640282190952
100001531730648_,100000035163095_,1.0,0.0,29.0,0.0,0.0,0.0,0.0
100001531730648_,100000038757830_,1.0,0.023529412,36.0,0.0,0.0,0.0,0.0
100001531730648_,100000046572337_,19.0,0.015151516,10.0,0.0,0.0,1.0,0.0
100001531730648_,100000070054978_,0.0,0.0,47.0,0.0,0.0,0.0,0.0
100001531730648_,100000074561629_,1.0,0.0,47.0,0.0,0.0,0.0,0.0
100001531730648_,100000093301114_,0.0,0.012987013,25.0,0.0,0.0,0.0,0.0
100001531730648_,100000105832498_,0.0,0.00877193,4.0,0.0,0.0,0.0,0.0370706612195
100001531730648_,100000129091420_,0.0,0.012345679,52.0,0.0,0.0,0.0,0.0
100001531730648_,100000211419811_,0.0,0.009009009,7.0,0.0,0.0,0.0,0.0
100001531730648_,100000289023673_,1.0,0.0,45.0,0.0,0.0,0.0,0.0
100001531730648_,100000294205095_,1.0,0.0,44.0,0.0,0.0,0.0,0.2
100001531730648_,100000303667390_,0.0,0.0,14.0,0.0,0.0,0.0,0.0
100001531730648_,100000304733469_,1.0,0.014705882,45.0,0.0,0.0,0.0,0.0
100001531730648_,100000393513722_,0.0,0.006666667,4.0,0.0,0.0,0.0,0.0
100001531730648_,100000412330487_,0.0,0.0,3.0,0.0,0.0,0.0,0.4
100001531730648_,100000453745199_,0.0,0.0,29.0,0.0,0.0,0.0,0.0
100001531730648_,100000494672500_,1.0,0.006802721,33.0,0.0,0.0,0.0,0.0625
100001531730648_,100000625521912_,1.0,0.01764706,5.0,0.0,0.0,0.0,0.0
100001531730648_,100000651133738_,0.0,0.014285714,41.0,0.0,0.0,0.0,0.0625
100001531730648_,100000708111490_,0.0,0.0,65.0,0.0,0.0,0.0,0.0
100001531730648_,100000722180356_,0.0,0.015873017,22.0,0.0,0.0,0.0,0.0
100001531730648_,100000726417116_,0.0,0.03797468,25.0,0.0,0.0,0.0,0.0
100001531730648_,100000730104528_,4.0,0.0,2.0,0.0,0.0,1.0,0.0
100001531730648_,100000793245352_,0.0,0.0,26.0,0.0,0.0,0.0,0.0
100001531730648_,100000835524911_,1.0,0.0,60.0,0.0,0.0,0.0,0.0
100001531730648_,100000856255302_,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100001531730648_,100000865549295_,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100001531730648_,100000973282893_,11.0,0.015151516,14.0,0.0,0.0,1.0,0.0
100001531730648_,100001007917175_,1.0,0.007102273,12.0,0.0,0.0,0.0,0.0
100001531730648_,100001074265849_,0.0,0.02020202,5.0,0.0,0.0,0.0,0.0625
100001531730648_,100001099996431_,0.0,0.0,6.0,0.0,0.0,0.0,0.0
100001531730648_,100001132448649_,0.0,0.0045454544,18.0,0.0,0.0,0.0,0.0
100001531730648_,100001138030999_,0.0,0.0,1.0,0.0,0.0,0.0,0.00574973520956
100001531730648_,100001196080118_,0.0,0.0,12.0,0.0,0.0,0.0,0.0
100001531730648_,100001210789888_,0.0,0.0,9.0,0.0,0.0,0.0,0.0
100001531730648_,100001323388248_,0.0,0.0,6.0,0.0,0.0,0.0,0.0
100001531730648_,100001363532860_,0.0,0.0,35.0,0.0,0.0,0.0,0.0
100001531730648_,100001585998002_,1.0,0.0,55.0,0.0,0.0,0.0,0.2625
100001531730648_,100001653840326_,0.0,0.0,31.0,0.0,0.0,0.0,0.0
100001531730648_,100001660692768_,0.0,0.0,4.0,0.0,0.0,0.0,0.0
100001531730648_,100001769181440_,0.0,0.0,0.0,0.0,0.0,0.0,0.2
100001531730648_,100001884077213_,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100001531730648_,100002043837483_,11.0,0.042857144,9.0,0.0,0.0,1.0,1.00002647904
100001531730648_,100002455212507_,0.0,0.02020202,25.0,0.0,0.0,0.0,0.0625
100001531730648_,100002558178419_,0.0,0.0054347827,7.0,10.0,0.0,0.0,2.125
100001531730648_,100002635002895_,3.0,0.015384615,35.0,0.0,0.0,0.0,0.0625
100001531730648_,100002690496925_,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100001531730648_,100002693771684_,1.0,0.0,41.0,0.0,0.0,0.0,0.0
100001531730648_,100002713511673_,3.0,0.007246377,7.0,0.0,0.0,1.0,0.000151308821304
100001531730648_,100002773517497_,0.0,0.0,6.0,0.0,0.0,0.0,0.123895779374
100001531730648_,100002776928428_,1.0,0.0,48.0,0.0,0.0,0.0,0.0
100001531730648_,100002916721819_,0.0,0.0,4.0,0.0,0.0,0.0,0.0
100001531730648_,100002922995591_,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100001531730648_,100002926173594_,2.0,0.0,8.0,1.0,0.0,0.0,0.330004539265
100001531730648_,100003212543662_,0.0,0.014134276,30.0,0.0,0.0,0.0,1.2
100001531730648_,100003767815015_,1.0,0.009803922,6.0,0.0,0.0,0.0,0.0
100001531730648_,100004894274012_,12.0,0.029850746,25.0,0.0,0.0,1.0,0.0
100001531730648_,100005752055875_,0.0,0.0,30.0,0.0,0.0,0.0,0.0
100001531730648_,100005758594826_,0.0,0.0,0.0,0.0,0.0,0.0,0.0886669692843
100001531730648_,100006731942062_,0.0,0.0076923077,4.0,0.0,0.0,0.0,0.00348010289
