main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups,class
786753874,_715758488,22,0,0,0,1,4,0
786753874,_720842086,179,0,0.01369863,0,1,18,0.348837209
786753874,_721872113,154,1,0.058441557,0,0,5,0.741534068
786753874,_723874468,14,0,0,0,0,1,0.083868207
786753874,_727873680,198,0,0,0,0,48,0.195977749
786753874,_730012321,5,0,0,0,0,0,0.024390244
786753874,_734450400,4,0,0.018072288,0,0,5,0
786753874,_735364706,180,0,0.032432433,0,0,17,0.133822929
786753874,_738102199,1,0,0,0,1,0,0.23255814
786753874,_738759187,145,0,0.08,0,0,13,0.11627907
786753874,_742289669,9,0,0,0,0,0,1.598003375
786753874,_744844279,10,0,0,0,0,0,0.181429183
786753874,_746863954,7,0,0.013636364,0,1,8,0
786753874,_747650255,192,1,0.006756757,0,1,14,0.614557523
786753874,_749953892,13,0,0.015544041,0,0,7,0.057552418
786753874,_751251357,14,0,0,0,0,0,0
786753874,_753213323,9,4,0.001567398,0,0,0,0.195121951
786753874,_753997975,5,0,0.011278195,0,1,14,0
786753874,_755046048,27,1,0,0,0,0,0
786753874,_755183463,81,0,0,0,0,0,0
786753874,_755982337,180,0,0,0,0,0,0.00877193
786753874,_757059718,55,0,0.020833334,0,0,5,0.866585067
786753874,_759132249,36,0,0.014084507,0,0,1,0
786753874,_761355628,15,1,0.007832898,0,1,0,0.296391385
786753874,_763276737,16,0,0,0,1,0,0.073170732
786753874,_764677592,23,0,0.006134969,0,1,0,0.024390244
786753874,_767979624,47,0,0.020725388,0,0,8,0
786753874,_768867280,151,0,0.08450704,0,0,5,0
786753874,_770363904,5,0,0.004454343,0,0,8,0.23255814
786753874,_770530512,124,1,0.02962963,0,0,12,0.482660139
786753874,_776569754,250,0,0,0,0,15,0.01754386
786753874,_778039405,5,1,0,0,0,2,0.066324347
786753874,_778639065,2,0,0,0,0,0,0
786753874,_780684678,1,0,0.006622517,0,0,4,0.033162174
786753874,_781890373,24,0,0.008264462,0,0,1,0.11627907
786753874,_782663849,49,1,0.013888889,0,1,8,0
786753874,_785228093,9,0,0.009259259,0,0,0,1.289665023
786753874,_787164938,201,0,0.023961661,0,0,51,0.00877193
786753874,_787601131,14,1,0.017699115,0,1,1,0.033162174
