main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups,class
786753874.0,_723874468,14.0,0.0,0.0,0.0,0.0,1.0,0.0838682071031
786753874.0,_727873680,198.0,0.0,0.0,0.0,0.0,48.0,0.195977749251
786753874.0,_730012321,5.0,0.0,0.0,0.0,0.0,0.0,0.0243902439024
786753874.0,_734450400,4.0,0.0,0.018072288,0.0,0.0,5.0,0.0
786753874.0,_735364706,180.0,0.0,0.032432433,0.0,0.0,17.0,0.133822929417
786753874.0,_738102199,1.0,0.0,0.0,0.0,1.0,0.0,0.232558139535
786753874.0,_738759187,145.0,0.0,0.08,0.0,0.0,13.0,0.116279069767
786753874.0,_742289669,9.0,0.0,0.0,0.0,0.0,0.0,1.59800337458
786753874.0,_744844279,10.0,0.0,0.0,0.0,0.0,0.0,0.181429182713
786753874.0,_746863954,7.0,0.0,0.013636364,0.0,1.0,8.0,0.0
786753874.0,_747650255,192.0,1.0,0.006756757,0.0,1.0,14.0,0.614557522564
786753874.0,_749953892,13.0,0.0,0.015544041,0.0,0.0,7.0,0.0575524176294
786753874.0,_751251357,14.0,0.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_753213323,9.0,4.0,0.001567398,0.0,0.0,0.0,0.19512195122
786753874.0,_753997975,5.0,0.0,0.011278195,0.0,1.0,14.0,0.0
786753874.0,_755046048,27.0,1.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_755183463,81.0,0.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_755982337,180.0,0.0,0.0,0.0,0.0,0.0,0.00877192982456
786753874.0,_757059718,55.0,0.0,0.020833334,0.0,0.0,5.0,0.866585067319
786753874.0,_759132249,36.0,0.0,0.014084507,0.0,0.0,1.0,0.0
786753874.0,_761355628,15.0,1.0,0.007832898,0.0,1.0,0.0,0.296391384966
786753874.0,_763276737,16.0,0.0,0.0,0.0,1.0,0.0,0.0731707317073
786753874.0,_764677592,23.0,0.0,0.006134969,0.0,1.0,0.0,0.0243902439024
786753874.0,_767979624,47.0,0.0,0.020725388,0.0,0.0,8.0,0.0
786753874.0,_768867280,151.0,0.0,0.08450704,0.0,0.0,5.0,0.0
786753874.0,_770363904,5.0,0.0,0.004454343,0.0,0.0,8.0,0.232558139535
786753874.0,_770530512,124.0,1.0,0.02962963,0.0,0.0,12.0,0.482660138719
786753874.0,_776569754,250.0,0.0,0.0,0.0,0.0,15.0,0.0175438596491
786753874.0,_778039405,5.0,1.0,0.0,0.0,0.0,2.0,0.066324347454
786753874.0,_778639065,2.0,0.0,0.0,0.0,0.0,0.0,0.0
786753874.0,_780684678,1.0,0.0,0.006622517,0.0,0.0,4.0,0.033162173727
786753874.0,_781890373,24.0,0.0,0.008264462,0.0,0.0,1.0,0.116279069767
786753874.0,_782663849,49.0,1.0,0.013888889,0.0,1.0,8.0,0.0
786753874.0,_785228093,9.0,0.0,0.009259259,0.0,0.0,0.0,1.28966502305
786753874.0,_787164938,201.0,0.0,0.023961661,0.0,0.0,51.0,0.00877192982456
786753874.0,_787601131,14.0,1.0,0.017699115,0.0,1.0,1.0,0.033162173727
786753874.0,_789771529,79.0,0.0,0.07486631,0.0,0.0,23.0,0.348837209302
786753874.0,_789984813,17.0,0.0,0.012048192,0.0,0.0,2.0,0.0819426615319
786753874.0,_795204203,4.0,1.0,0.0,2.0,0.0,0.0,0.818351892209
786753874.0,_795662627,30.0,0.0,0.008196721,0.0,1.0,0.0,0.0
786753874.0,_805959360,56.0,0.0,0.0,0.0,0.0,0.0,0.0035151856018
786753874.0,_807717903,29.0,0.0,0.011764706,0.0,0.0,0.0,0.243688489516
786753874.0,_808599938,86.0,0.0,0.0,0.0,0.0,32.0,0.0175438596491
786753874.0,_809340110,14.0,5.0,0.00729927,0.0,0.0,3.0,1.86007453404
786753874.0,_815200768,54.0,0.0,0.011049724,0.0,0.0,4.0,0.0243902439024
