main profile,friend profile,fbfm.stats.features.FeatureMutualFriends,fbfm.stats.features.FeaturePhotoTags,fbfm.stats.features.FeatureCommonLikeRatio,fbfm.stats.features.FeatureCommonPlaces,fbfm.stats.features.FeatureCommonEducationWork,fbfm.stats.features.FeatureCommonGroups
786753874,808599938,86,0,0,0,0,32
786753874,809340110,14,5,0.00729927,0,0,3
786753874,815200768,54,0,0.011049724,0,0,4
786753874,815617409,64,0,0.012820513,0,0,6
786753874,815843047,33,0,0,0,0,0
786753874,815877346,188,1,0,0,0,16
786753874,817088430,93,0,0.03305785,0,0,15
786753874,817302975,188,0,0.057017542,0,0,45
786753874,817364113,6,0,0.010204081,0,0,2
786753874,817702732,7,0,0,0,0,1
786753874,817724180,2,0,0,0,0,0
786753874,818017467,177,0,0.021077283,0,0,18
786753874,820019077,46,2,0.008888889,0,1,1
786753874,820625857,202,0,0,0,0,19
786753874,821884872,154,0,0.035714287,0,0,16
786753874,822748598,44,0,0,0,0,1
786753874,824138839,41,1,0.010714286,0,0,0
786753874,825192009,180,0,0.044585988,0,0,0
786753874,825432795,51,0,0,0,1,2
786753874,825964297,11,1,0.002793296,0,1,5
786753874,826803356,6,0,0.006666667,0,0,2
786753874,828643655,52,0,0.041322313,0,0,6
786753874,828699030,42,0,0.030303031,0,0,8
786753874,837717953,0,0,0.003960396,0,0,1
786753874,845055183,213,0,0.05691057,0,0,31
786753874,851729431,20,0,0.01635514,0,0,0
786753874,872115443,58,0,0,0,0,0
786753874,879800164,74,0,0.010928961,0,0,4
786753874,889410092,13,0,0.005882353,0,0,3
786753874,1002580454,10,1,0,0,0,0
786753874,1003936860,67,2,0.013574661,0,1,6
786753874,1007975210,19,0,0,0,0,0
786753874,1010672309,132,0,0.03125,0,0,8
786753874,1011161277,30,0,0.01986755,0,0,0
786753874,1013561687,52,3,0.016,0,1,7
786753874,1013652369,0,0,0.010914052,0,0,0
786753874,1013818146,229,1,0,0,0,13
786753874,1013920763,129,0,0.056410257,0,0,50
786753874,1014516354,199,0,0.02586207,0,0,22
786753874,1014737648,1,0,0,0,1,7
786753874,1016706400,0,0,0,0,0,0
786753874,1017518588,1,0,0,0,0,5
786753874,1017708203,73,3,0,0,0,0
786753874,1018248894,40,0,0,0,0,7
786753874,1018851731,2,0,0.015267176,0,0,0
786753874,1019443507,195,0,0,0,0,22
786753874,1020969040,209,0,0.010569106,0,0,43
786753874,1021099085,107,0,0.036199097,0,0,15
786753874,1027954151,52,1,0.04,0,0,2
786753874,1029908662,12,0,0.008064516,0,1,0
786753874,1032281707,3,0,0,0,0,8
786753874,1036165703,156,0,0.013368984,0,0,9
786753874,1039832843,27,0,0,0,0,0
786753874,1040109633,47,4,0.00304878,0,0,3
786753874,1040455511,183,0,0.03521127,0,0,35
786753874,1040782519,3,0,0,0,0,0
786753874,1041028177,30,0,0,0,0,1
786753874,1041351558,37,1,0.030303031,0,0,16
786753874,1045460059,45,4,0.006155951,0,0,2
786753874,1047150945,19,0,0.018691588,0,0,2
786753874,1047929760,81,0,0.062992126,0,0,16
786753874,1049235634,38,1,0,0,0,0
786753874,1049867539,0,0,0,0,1,6
786753874,1052433254,46,3,0.005555556,0,0,2
786753874,1052618348,57,0,0.011976048,0,0,4
786753874,1054714315,43,3,0.011204482,0,0,0
786753874,1055024185,58,0,0.012170386,0,0,3
786753874,1055459885,23,0,0.018292682,0,0,0
786753874,1055630259,89,0,0.034782607,0,0,5
786753874,1057818999,203,0,0.026737968,0,0,16
786753874,1058842289,8,0,0.027459955,0,0,4
